Species,above.median_total,ED.med,EDGE.med,TBL.med,TBL%,RL.cat
CAPE&Erica_piquetbergensis,32,0.0030,0.0028,0.0005,16.8%,CR
CAPE&Erica_permutata,29,0.0746,0.0028,0.0729,97.8%,LC
CAPE&Erica_transparens,24,0.0463,0.0028,0.0404,87.4%,LC
CAPE&Erica_steinbergiana_var._steinbergiana,23,0.0562,0.0028,0.0368,65.5%,LC
CAPE&Erica_eriocodon,37,0.0874,0.0028,0.0841,96.2%,LC
CAPE&Erica_amatolensis,38,0.0542,0.0028,0.0542,100.0%,LC
CAPE&Erica_setosa,41,0.1035,0.0028,0.0976,94.3%,LC
CAPE&Erica_pulchella,27,0.0631,0.0028,0.0364,57.8%,LC
CAPE&Erica_andreaei,31,0.0711,0.0028,0.0565,79.5%,LC
CAPE&Erica_saptouensis,32,0.0526,0.0028,0.0488,92.7%,LC
CAPE&Erica_selaginifolia,19,0.0500,0.0028,0.0492,98.2%,LC
CAPE&Erica_rufescens,36,0.0739,0.0028,0.0714,96.7%,LC
CAPE&Erica_pectinifolia_var._oblongifolia,27,0.0662,0.0028,0.0613,92.5%,LC
CAPE&Erica_perspicua_ssp._latifolia,24,0.0123,0.0028,0.0113,92.6%,VU
CAPE&Erica_glandulosa_ssp._glandulosa,29,0.0693,0.0028,0.0616,88.9%,LC
CAPE&Erica_gysbertii_var._longiflora,34,0.0143,0.0028,0.0135,94.7%,
CAPE&Erica_tenuipes,37,0.0631,0.0028,0.0556,88.1%,LC
CAPE&Erica_schelpeorum,37,0.0827,0.0028,0.0802,96.9%,LC
CAPE&Erica_inaequalis,27,0.0607,0.0028,0.0596,98.1%,LC
CAPE&Erica_altiphila,39,0.0749,0.0028,0.0642,85.7%,LC
CAPE&Erica_turmalis,27,0.0523,0.0028,0.0462,88.3%,LC
CAPE&Erica_massonii_var._minor,37,0.0139,0.0027,0.0127,90.8%,
CAPE&Erica_adnata,18,0.0498,0.0027,0.0465,93.4%,LC
CAPE&Erica_brachycentra,35,0.0566,0.0027,0.0479,84.6%,LC
CAPE&Erica_azaleifolia,35,0.0608,0.0027,0.0567,93.2%,LC
CAPE&Erica_alticola,32,0.0560,0.0027,0.0515,92.0%,LC
CAPE&Erica_tragulifera,38,0.0441,0.0027,0.0388,87.8%,LC
CAPE&Erica_papyracea,36,0.0671,0.0027,0.0628,93.7%,LC
CAPE&Erica_syngenesia,31,0.0618,0.0027,0.0602,97.3%,LC
CAPE&Erica_guthriei_var._guthriei,31,0.0611,0.0026,0.0399,65.3%,LC
CAPE&Erica_gysbertii_var._ampliata,34,0.0140,0.0026,0.0131,93.4%,
CAPE&Erica_capillaris_var._poliotes,36,0.0180,0.0026,0.0122,67.8%,
CAPE&Erica_philippioides,28,0.0621,0.0026,0.0514,82.8%,LC
CAPE&Erica_pycnantha,27,0.0719,0.0026,0.0700,97.4%,LC
CAPE&Erica_goatcheriana_var._goatcheriana,26,0.0509,0.0025,0.0479,94.2%,LC
CAPE&Erica_tetragona,34,0.0661,0.0025,0.0581,87.9%,LC
CAPE&Erica_melanomontana,23,0.0537,0.0025,0.0475,88.4%,LC
CAPE&Erica_flacca,37,0.0587,0.0025,0.0587,100.0%,LC
CAPE&Erica_kammanassieae,23,0.0652,0.0025,0.0586,90.0%,LC
CAPE&Erica_richardii,34,0.0746,0.0025,0.0705,94.6%,LC
CAPE&Erica_propinqua,29,0.0568,0.0024,0.0567,99.8%,LC
CAPE&Erica_newdigatei,33,0.0431,0.0024,0.0406,94.2%,LC
CAPE&Erica_plumigera,24,0.0541,0.0024,0.0522,96.4%,LC
CAPE&Erica_maritima,35,0.0489,0.0024,0.0477,97.6%,LC
CAPE&Erica_fuscescens,35,0.0584,0.0024,0.0528,90.5%,LC
CAPE&Erica_thomae,24,0.0503,0.0024,0.0487,96.7%,LC
CAPE&Erica_priori,30,0.0783,0.0024,0.0681,86.9%,LC
CAPE&Erica_pumila,35,0.0508,0.0024,0.0499,98.1%,LC
CAPE&Erica_cederbergensis,37,0.0497,0.0024,0.0407,81.8%,LC
CAPE&Erica_cuscutiformis,33,0.0536,0.0024,0.0498,92.9%,LC
TEA&Erica_cooperi_var._cooperi,24,0.0622,0.0024,0.0474,76.3%,LC
CAPE&Erica_involucrata,31,0.0571,0.0024,0.0555,97.3%,LC
CAPE&Erica_lepidota,23,0.0520,0.0024,0.0494,95.1%,LC
CAPE&Erica_kogelbergensis,37,0.0549,0.0024,0.0457,83.2%,LC
CAPE&Erica_stenantha,32,0.0603,0.0024,0.0524,87.0%,LC
CAPE&Erica_mollis,23,0.0533,0.0023,0.0499,93.6%,LC
CAPE&Erica_tenuifolia,33,0.0670,0.0023,0.0549,82.0%,LC
CAPE&Erica_valida,33,0.0562,0.0023,0.0492,87.5%,LC
CAPE&Erica_empetrina,24,0.0555,0.0023,0.0544,98.0%,LC
CAPE&Erica_dregei,30,0.0049,0.0023,0.0005,9.7%,EN
CAPE&Erica_tenuicaulis,28,0.0523,0.0023,0.0522,99.7%,LC
CAPE&Erica_kougabergensis_var._kougabergensis,30,0.0347,0.0023,0.0245,70.6%,LC
CAPE&Erica_atricha,34,0.0672,0.0023,0.0645,96.0%,LC
CAPE&Erica_glauca_var._elegans,18,0.0491,0.0023,0.0429,87.4%,LC
CAPE&Erica_annalis,31,0.0545,0.0023,0.0473,86.8%,LC
CAPE&Erica_ampullacea_var._ampullacea,19,0.0417,0.0023,0.0306,73.4%,LC
CAPE&Erica_botryoides,32,0.0371,0.0022,0.0333,89.6%,LC
CAPE&Erica_rudolfii,33,0.0424,0.0022,0.0412,97.2%,LC
CAPE&Erica_coacervata,30,0.0474,0.0022,0.0454,95.9%,LC
CAPE&Erica_oreotragus,28,0.0661,0.0022,0.0633,95.8%,LC
CAPE&Erica_pyxidiflora,23,0.0468,0.0022,0.0415,88.5%,LC
CAPE&Erica_eugenea,12,0.0516,0.0022,0.0485,94.0%,LC
CAPE&Erica_labialis,21,0.0421,0.0022,0.0413,98.1%,LC
CAPE&Erica_barbigeroides,19,0.0521,0.0022,0.0520,99.8%,LC
CAPE&Erica_setulosa,33,0.0508,0.0022,0.0496,97.7%,LC
CAPE&Erica_winteri,32,0.0404,0.0022,0.0388,96.2%,LC
CAPE&Erica_virginalis,30,0.0468,0.0022,0.0437,93.4%,LC
CAPE&Erica_barrydalensis,31,0.0594,0.0022,0.0517,87.0%,LC
CAPE&Erica_regia_ssp._regia,25,0.0043,0.0022,0.0042,96.7%,EN
CAPE&Erica_armata_var._breviaristata,27,0.0454,0.0022,0.0428,94.2%,LC
CAPE&Erica_bruniifolia_var._bruniifolia,30,0.0501,0.0022,0.0493,98.3%,LC
CAPE&Erica_limnophila,29,0.0602,0.0022,0.0350,58.2%,LC
CAPE&Erica_borboniifolia,36,0.0430,0.0022,0.0364,84.6%,LC
CAPE&Erica_wittebergensis,31,0.0372,0.0021,0.0342,92.0%,LC
CAPE&Erica_notholeeana,31,0.0640,0.0021,0.0632,98.8%,LC
CAPE&Erica_haematosiphon,33,0.0432,0.0021,0.0419,97.0%,LC
CAPE&Erica_plukenetii_ssp._penicillata,27,0.0668,0.0021,0.0630,94.3%,LC
CAPE&Erica_brownii,29,0.0604,0.0021,0.0547,90.6%,LC
CAPE&Erica_carduifolia,35,0.0519,0.0021,0.0471,90.7%,LC
CAPE&Erica_tomentosa,18,0.0399,0.0021,0.0378,94.7%,LC
CAPE&Erica_brownleeae,36,0.0482,0.0021,0.0471,97.6%,LC
CAPE&Erica_alnea,33,0.0538,0.0021,0.0487,90.6%,LC
CAPE&Erica_crenata,28,0.0470,0.0021,0.0446,94.8%,LC
CAPE&Erica_hirta,20,0.0410,0.0021,0.0342,83.4%,LC
CAPE&Erica_crassisepala,33,0.0670,0.0021,0.0610,91.0%,LC
CAPE&Erica_cetrata,23,0.0416,0.0021,0.0400,96.1%,LC
CAPE&Erica_globulifera,36,0.0537,0.0021,0.0458,85.2%,LC
CAPE&Erica_quadrisulcata,21,0.0456,0.0021,0.0454,99.4%,LC
CAPE&Erica_wendlandiana,19,0.0382,0.0021,0.0378,99.0%,LC
CAPE&Erica_altevivens,39,0.0640,0.0021,0.0515,80.5%,LC
CAPE&Erica_tegetiformis,34,0.0542,0.0021,0.0485,89.6%,LC
CAPE&Erica_curvistyla,33,0.0488,0.0020,0.0425,87.0%,LC
CAPE&Erica_constantia,29,0.0498,0.0020,0.0449,90.3%,LC
CAPE&Erica_plena,16,0.0437,0.0020,0.0340,77.6%,LC
CAPE&Erica_polifolia_var._polifolia,28,0.0339,0.0020,0.0221,65.3%,LC
CAPE&Erica_langebergensis,31,0.0525,0.0020,0.0513,97.7%,LC
CAPE&Erica_inclusa,31,0.0491,0.0020,0.0434,88.4%,LC
CAPE&Erica_setociliata,30,0.0444,0.0020,0.0353,79.4%,LC
CAPE&Erica_recurvifolia,28,0.0442,0.0020,0.0436,98.6%,LC
CAPE&Erica_natalitia_var._natalitia,11,0.0387,0.0020,0.0273,70.7%,LC
CAPE&Erica_portenschlagiana,34,0.0485,0.0020,0.0428,88.2%,LC
CAPE&Erica_benthamiana,24,0.0520,0.0020,0.0520,100.0%,LC
CAPE&Erica_rugata,19,0.0542,0.0020,0.0539,99.6%,LC
CAPE&Erica_glandulipila,12,0.0435,0.0020,0.0431,99.1%,LC
CAPE&Erica_bakeri,23,0.0020,0.0020,0.0020,99.5%,CR
CAPE&Erica_viridiflora_ssp._viridiflora,22,0.0505,0.0020,0.0452,89.5%,LC
CAPE&Erica_jugicola,24,0.0456,0.0020,0.0446,97.9%,LC
CAPE&Erica_triflora_var._triflora,14,0.0320,0.0019,0.0301,94.0%,LC
CAPE&Erica_articularis_var._articularis,26,0.0387,0.0019,0.0329,85.0%,LC
CAPE&Erica_cyathiformis_var._orientalis,33,0.0110,0.0019,0.0103,94.2%,
CAPE&Erica_longistyla_var._longistyla,33,0.0387,0.0019,0.0320,82.7%,LC
CAPE&Erica_bruniifolia_var._solandroides,31,0.0413,0.0019,0.0353,85.5%,LC
CAPE&Erica_harveiana,33,0.0458,0.0019,0.0427,93.3%,LC
CAPE&Erica_racemosa_var._racemosa,30,0.0492,0.0018,0.0377,76.6%,LC
CAPE&Erica_taylorii,29,0.0436,0.0018,0.0419,95.9%,LC
CAPE&Erica_hirtiflora_var._minor,32,0.0090,0.0018,0.0082,91.6%,
CAPE&Erica_vallis_fluminis,13,0.0374,0.0018,0.0346,92.5%,LC
CAPE&Erica_totta,29,0.0415,0.0018,0.0402,97.0%,LC
CAPE&Erica_stokoei,18,0.0393,0.0018,0.0393,100.0%,LC
CAPE&Erica_areolata,22,0.0490,0.0018,0.0354,72.3%,LC
CAPE&Erica_fausta,29,0.0457,0.0018,0.0399,87.2%,LC
CAPE&Erica_subulata,15,0.0307,0.0018,0.0306,99.7%,LC
CAPE&Erica_plukenetii_ssp._bredensis,19,0.0329,0.0018,0.0307,93.4%,LC
CAPE&Erica_bodkinii,24,0.0363,0.0018,0.0309,85.2%,LC
CAPE&Erica_eustacei,22,0.0386,0.0018,0.0384,99.4%,LC
CAPE&Erica_mammosa,19,0.0331,0.0018,0.0320,96.7%,LC
CAPE&Erica_plumosa,22,0.0288,0.0018,0.0288,99.9%,LC
CAPE&Erica_ceraria,32,0.0438,0.0017,0.0399,91.1%,LC
CAPE&Erica_filamentosa,22,0.0038,0.0017,0.0029,76.7%,EN
CAPE&Erica_praenitens,29,0.0444,0.0017,0.0428,96.5%,LC
CAPE&Erica_rusticula,21,0.0408,0.0017,0.0390,95.7%,LC
CAPE&Erica_cymosa_ssp._cymosa,27,0.0377,0.0017,0.0370,98.1%,LC
CAPE&Erica_viridiflora_ssp._primulina,24,0.0518,0.0017,0.0430,83.1%,LC
CAPE&Erica_zwartbergensis,18,0.0347,0.0017,0.0338,97.4%,LC
CAPE&Erica_plukenetii_ssp._plukenetii,23,0.0480,0.0017,0.0478,99.6%,LC
CAPE&Erica_lawsonia,38,0.0434,0.0016,0.0410,94.5%,LC
CAPE&Erica_arachnocalyx,32,0.0357,0.0016,0.0331,92.6%,LC
CAPE&Erica_calycina,14,0.0391,0.0016,0.0378,96.6%,LC
CAPE&Erica_articularis_var._implexa,26,0.0386,0.0016,0.0302,78.2%,LC
CAPE&Erica_sessiliflora,19,0.0444,0.0016,0.0368,82.9%,LC
CAPE&Erica_glabripes,34,0.0464,0.0016,0.0378,81.5%,LC
CAPE&Erica_terniflora,29,0.0415,0.0016,0.0395,95.1%,LC
CAPE&Erica_perlata,21,0.0321,0.0016,0.0295,92.0%,LC
CAPE&Erica_bokkeveldia,22,0.0291,0.0016,0.0269,92.7%,LC
CAPE&Erica_cernua,17,0.0291,0.0016,0.0285,98.0%,LC
CAPE&Erica_lasciva,24,0.0334,0.0015,0.0333,99.7%,LC
CAPE&Erica_monadelphia,15,0.0326,0.0015,0.0317,97.2%,LC
CAPE&Erica_excavata,9,0.0398,0.0015,0.0321,80.5%,LC
CAPE&Erica_savilea_var._mutica,18,0.0066,0.0015,0.0059,89.2%,
CAPE&Erica_aristata_var._aristata,21,0.0397,0.0015,0.0322,81.3%,LC
CAPE&Erica_leucosiphon,17,0.0389,0.0015,0.0377,96.9%,LC
CAPE&Erica_lucida_var._lucida,14,0.0324,0.0015,0.0284,87.5%,LC
CAPE&Erica_artemisioides,15,0.0343,0.0015,0.0315,91.8%,LC
CAPE&Erica_densifolia,10,0.0349,0.0015,0.0336,96.4%,LC
CAPE&Erica_gigantea,13,0.0364,0.0015,0.0347,95.3%,LC
CAPE&Erica_brevicaulis,26,0.0354,0.0015,0.0265,74.9%,LC
CAPE&Erica_leucanthera,20,0.0406,0.0015,0.0385,94.8%,LC
CAPE&Erica_lowryensis_var._lowryensis,15,0.0297,0.0015,0.0207,69.6%,LC
CAPE&Erica_bibax,18,0.0265,0.0014,0.0250,94.6%,LC
CAPE&Erica_unicolor_ssp._mutica,16,0.0028,0.0014,0.0028,100.0%,EN
CAPE&Erica_melastoma_ssp._melastoma,18,0.0362,0.0014,0.0362,100.0%,LC
CAPE&Erica_rimarum,29,0.0435,0.0014,0.0388,89.0%,LC
CAPE&Erica_blenna_var._grandiflora,28,0.0053,0.0014,0.0052,97.3%,
CAPE&Erica_cereris,28,0.0309,0.0014,0.0254,82.3%,LC
CAPE&Erica_lateralis,15,0.0302,0.0014,0.0302,100.0%,LC
CAPE&Erica_parviflora_var._inermis,13,0.0304,0.0014,0.0285,93.7%,LC
CAPE&Erica_penicilliformis_var._chrysantha,19,0.0044,0.0014,0.0043,95.8%,
CAPE&Erica_dispar,17,0.0095,0.0014,0.0092,96.5%,NT
CAPE&Erica_imbricata,16,0.0462,0.0014,0.0441,95.4%,LC
CAPE&Erica_copiosa_var._linearisepala,15,0.0286,0.0014,0.0272,94.9%,LC
CAPE&Erica_eremioides_ssp._eremioides,15,0.0262,0.0014,0.0258,98.4%,LC
CAPE&Erica_viscaria_ssp._pendula,10,0.0056,0.0014,0.0047,84.0%,VU
CAPE&Erica_longipedunculata_var._longipedunculata,22,0.0236,0.0014,0.0231,97.7%,LC
CAPE&Erica_leptoclada_var._leptoclada,22,0.0257,0.0014,0.0242,94.1%,LC
CAPE&Erica_spectabilis,14,0.0356,0.0014,0.0178,49.8%,LC
CAPE&Erica_armata_var._armata,26,0.0456,0.0014,0.0428,93.8%,LC
CAPE&Erica_cymosa_ssp._grandiflora,21,0.0389,0.0013,0.0370,95.0%,LC
CAPE&Erica_cordata_var._cordata,17,0.0298,0.0013,0.0240,80.6%,LC
CAPE&Erica_parviflora_var._parviflora,8,0.0289,0.0013,0.0265,92.0%,LC
CAPE&Erica_seriphiifolia,31,0.0471,0.0013,0.0442,93.7%,LC
CAPE&Erica_riparia,31,0.0028,0.0013,0.0001,2.7%,EN
CAPE&Erica_savilea_var._grandiflora,21,0.0059,0.0013,0.0054,91.8%,
CAPE&Erica_monsoniana_var._exserta,8,0.0276,0.0013,0.0258,93.4%,LC
CAPE&Erica_acuta_var._acuta,12,0.0344,0.0013,0.0233,67.7%,LC
CAPE&Erica_triflora_var._rosea,10,0.0312,0.0013,0.0301,96.4%,LC
CAPE&Erica_ericoides,14,0.0234,0.0013,0.0232,98.9%,LC
CAPE&Erica_embothriifolia_var._subaequalis,26,0.0223,0.0013,0.0217,97.2%,LC
CAPE&Erica_inflata,15,0.0256,0.0012,0.0210,81.7%,LC
CAPE&Erica_gracilis,11,0.0240,0.0012,0.0238,99.0%,LC
CAPE&Erica_puberuliflora,29,0.0422,0.0012,0.0407,96.3%,LC
CAPE&Erica_copiosa_var._copiosa,15,0.0290,0.0012,0.0272,93.8%,LC
CAPE&Erica_conferta,13,0.0352,0.0012,0.0337,95.9%,LC
CAPE&Erica_blaerioides_ssp._blaerioides,22,0.0289,0.0012,0.0278,96.1%,LC
CAPE&Erica_argentea_var._argentea,15,0.0302,0.0012,0.0225,74.7%,LC
CAPE&Erica_vestita,13,0.0300,0.0012,0.0300,100.0%,LC
CAPE&Erica_pannosa,16,0.0296,0.0012,0.0286,96.5%,LC
CAPE&Erica_rhopalantha_var._delapsa,28,0.0069,0.0011,0.0000,0.6%,
CAPE&Erica_chartacea,8,0.0291,0.0011,0.0277,95.1%,LC
CAPE&Erica_fastigiata_var._fastigiata,7,0.0223,0.0011,0.0180,80.5%,LC
CAPE&Erica_monsoniana_var._monsoniana,7,0.0271,0.0011,0.0258,95.1%,LC
CAPE&Erica_loganii,5,0.0218,0.0011,0.0201,92.1%,LC
CAPE&Erica_blaerioides_ssp._hirsuta,24,0.0286,0.0011,0.0278,96.9%,LC
CAPE&Erica_plukenetii_ssp._breviflora,17,0.0294,0.0011,0.0254,86.4%,LC
CAPE&Erica_lucida_var._laxa,11,0.0324,0.0011,0.0292,90.3%,LC
CAPE&Erica_cristiflora_var._blanda,17,0.0260,0.0010,0.0252,97.3%,LC
CAPE&Erica_longipedunculata_var._intermedia,20,0.0187,0.0010,0.0183,97.7%,LC
CAPE&Erica_velitaris_var._hemisphaerica,22,0.0240,0.0010,0.0196,81.9%,LC
CAPE&Erica_leptoclada_var._aristata,17,0.0258,0.0010,0.0242,93.9%,LC
CAPE&Erica_rhopalantha_var._rhopalantha,22,0.0224,0.0010,0.0000,0.2%,LC
CAPE&Erica_leptopus,14,0.0198,0.0010,0.0116,58.5%,LC
CAPE&Erica_erasmia,4,0.0217,0.0010,0.0188,86.5%,LC
CAPE&Erica_phillipsii,15,0.0225,0.0010,0.0200,89.0%,LC
CAPE&Erica_incarnata,18,0.0260,0.0010,0.0255,98.1%,LC
CAPE&Erica_eremioides_ssp._eglandula,15,0.0262,0.0010,0.0251,95.8%,LC
CAPE&Erica_eremioides_ssp._pubescens,14,0.0213,0.0010,0.0203,95.2%,LC
CAPE&Erica_trichophora,22,0.0058,0.0010,0.0049,83.8%,
CAPE&Erica_nematophylla,10,0.0042,0.0010,0.0027,64.0%,VU
CAPE&Erica_thunbergii_var._celsiana,19,0.0241,0.0010,0.0227,93.9%,LC
CAPE&Erica_viscaria_ssp._pustulata,8,0.0041,0.0010,0.0036,87.2%,VU
CAPE&Erica_cristiflora_var._cristiflora,21,0.0245,0.0010,0.0234,95.6%,LC
CAPE&Erica_tenuis,13,0.0196,0.0010,0.0122,62.3%,LC
CAPE&Erica_holosericea_var._holosericea,15,0.0236,0.0010,0.0155,65.5%,LC
CAPE&Erica_velitaris_var._parvibracteata,22,0.0249,0.0010,0.0220,88.5%,LC
CAPE&Erica_viscaria_ssp._viscaria,8,0.0149,0.0010,0.0142,95.2%,LC
CAPE&Erica_junonia_var._minor,15,0.0193,0.0010,0.0133,69.1%,LC
CAPE&Erica_parviflora_var._ternifolia,11,0.0230,0.0009,0.0228,99.1%,LC
CAPE&Erica_quadrangularis,8,0.0195,0.0009,0.0158,81.2%,LC
CAPE&Erica_globiceps_ssp._globiceps,9,0.0228,0.0009,0.0210,92.2%,LC
CAPE&Erica_similis,8,0.0223,0.0009,0.0169,75.6%,LC
CAPE&Erica_grandiflora_ssp._perfoliosa,6,0.0043,0.0009,0.0036,85.1%,VU
CAPE&Erica_canescens,11,0.0218,0.0009,0.0118,54.2%,LC
CAPE&Erica_senilis,7,0.0182,0.0009,0.0099,54.5%,LC
CAPE&Erica_hispidula_var._hispidula,11,0.0224,0.0009,0.0175,77.9%,LC
CAPE&Erica_stagnalis_ssp._stagnalis,10,0.0226,0.0009,0.0143,63.4%,LC
CAPE&Erica_doliiformis,7,0.0202,0.0009,0.0191,94.7%,LC
CAPE&Erica_verecunda,13,0.0183,0.0009,0.0161,88.1%,LC
CAPE&Erica_cristiflora_var._moschata,19,0.0233,0.0009,0.0220,94.6%,LC
CAPE&Erica_massonii_var._massonii,6,0.0171,0.0009,0.0127,74.1%,LC
CAPE&Erica_longipedunculata_var._setifera,23,0.0236,0.0009,0.0227,96.2%,LC
CAPE&Erica_nevillei,8,0.0176,0.0009,0.0163,92.8%,LC
CAPE&Erica_embothriifolia_var._longiflora,26,0.0204,0.0009,0.0196,96.1%,LC
CAPE&Erica_distorta,18,0.0156,0.0008,0.0155,99.4%,LC
CAPE&Erica_curtophylla,18,0.0161,0.0008,0.0093,58.2%,LC
CAPE&Erica_leucopelta_var._epheboides,6,0.0239,0.0008,0.0156,65.3%,LC
CAPE&Erica_parviflora_var._glabra,11,0.0244,0.0008,0.0220,90.2%,LC
CAPE&Erica_fontana,5,0.0211,0.0008,0.0194,91.9%,LC
CAPE&Erica_humidicola,13,0.0017,0.0008,0.0017,98.3%,EN
CAPE&Erica_glomiflora_var._glomiflora,4,0.0148,0.0008,0.0141,95.2%,LC
CAPE&Erica_glomiflora_var._canthariformis,7,0.0151,0.0008,0.0141,93.2%,LC
CAPE&Erica_ioniana,11,0.0191,0.0007,0.0096,50.3%,LC
CAPE&Erica_haematocodon,9,0.0190,0.0007,0.0189,99.5%,LC
CAPE&Erica_gysbertii_var._gysbertii,6,0.0169,0.0007,0.0134,79.1%,LC
CAPE&Erica_corifolia_var._erectiuscula,5,0.0122,0.0007,0.0121,99.7%,LC
CAPE&Erica_embothriifolia_var._embothriifolia,25,0.0242,0.0007,0.0220,90.8%,LC
CAPE&Erica_thunbergii_var._thunbergii,16,0.0244,0.0007,0.0227,92.8%,LC
CAPE&Erica_leucotrachela_ssp._monicae,5,0.0126,0.0007,0.0119,93.8%,LC
CAPE&Erica_rubens,12,0.0147,0.0007,0.0145,98.6%,LC
CAPE&Erica_corifolia_var._corifolia,5,0.0150,0.0007,0.0145,96.3%,LC
CAPE&Erica_scytophylla,14,0.0197,0.0007,0.0093,47.3%,LC
CAPE&Erica_walkeria_var._walkeria,5,0.0117,0.0007,0.0113,97.3%,LC
CAPE&Erica_corifolia_var._concolor,4,0.0134,0.0007,0.0131,97.5%,LC
CAPE&Erica_perspicua_ssp._perspicua,2,0.0145,0.0007,0.0113,78.1%,LC
CAPE&Erica_curviflora_var._curviflora,5,0.0171,0.0006,0.0134,78.0%,LC
CAPE&Erica_planifolia_var._calycina,17,0.0032,0.0006,0.0031,96.4%,
CAPE&Erica_purgatoriensis,11,0.0025,0.0006,0.0024,97.9%,VU
CAPE&Erica_leucotrachela_ssp._leucotrachela,4,0.0129,0.0006,0.0119,92.3%,LC
CAPE&Erica_ardens,15,0.0123,0.0006,0.0114,92.1%,LC
CAPE&Erica_curvirostris_var._curvirostris,3,0.0123,0.0006,0.0118,95.2%,LC
CAPE&Erica_walkeria_var._praestans,6,0.0118,0.0006,0.0113,95.9%,LC
CAPE&Erica_corifolia_var._bracteata,4,0.0155,0.0006,0.0153,98.4%,LC
CAPE&Erica_tumida_var._minor,8,0.0096,0.0005,0.0090,94.4%,LC
CAPE&Erica_krugeri,4,0.0131,0.0005,0.0125,95.7%,LC
CAPE&Erica_tumida_var._tumida,8,0.0097,0.0005,0.0090,92.9%,LC
CAPE&Erica_ventricosa_var._meyeriana,0,0.0070,0.0005,0.0068,97.2%,LC
CAPE&Erica_conspicua_ssp._roseoflora,2,0.0100,0.0005,0.0094,93.4%,LC
CAPE&Erica_radicans_ssp._radicans,6,0.0102,0.0005,0.0062,61.2%,LC
CAPE&Erica_pageana,3,0.0104,0.0005,0.0075,72.7%,LC
CAPE&Erica_sphaerocephala,11,0.0101,0.0005,0.0096,94.9%,LC
CAPE&Erica_curvirostris_var._longisepala,2,0.0122,0.0005,0.0118,96.1%,LC
CAPE&Erica_lavandulifolia,12,0.0146,0.0005,0.0141,96.6%,LC
CAPE&Erica_cylindrica,6,0.0126,0.0005,0.0118,93.6%,LC
CAPE&Erica_hirtiflora_var._hirtiflora,4,0.0112,0.0005,0.0082,73.4%,LC
CAPE&Erica_cyathiformis_var._cyathiformis,4,0.0125,0.0004,0.0103,82.3%,LC
CAPE&Erica_filipendula_ssp._parva,4,0.0109,0.0004,0.0096,87.8%,LC
CAPE&Erica_savilea_var._savilea,0,0.0074,0.0004,0.0058,78.8%,LC
CAPE&Erica_macowanii_ssp._macowanii,4,0.0114,0.0004,0.0108,95.0%,LC
CAPE&Erica_macowanii_ssp._lanceolata,5,0.0117,0.0004,0.0108,93.0%,LC
CAPE&Erica_blenna_var._blenna,7,0.0083,0.0004,0.0052,62.3%,LC
CAPE&Erica_globiceps_ssp._consors,7,0.0113,0.0004,0.0100,88.5%,LC
CAPE&Erica_conspicua_ssp._conspicua,3,0.0098,0.0004,0.0094,96.0%,LC
CAPE&Erica_blandfordia,5,0.0094,0.0004,0.0080,85.7%,LC
CAPE&Erica_maderi,10,0.0106,0.0004,0.0102,95.8%,LC
CAPE&Erica_latituba,6,0.0085,0.0004,0.0044,52.3%,LC
CAPE&Erica_recta,2,0.0066,0.0004,0.0066,100.0%,LC
CAPE&Erica_intermedia_ssp._albiflora,4,0.0079,0.0004,0.0061,76.9%,LC
CAPE&Erica_penicilliformis_var._penicilliformis,4,0.0064,0.0003,0.0043,66.8%,LC
CAPE&Erica_versicolor,1,0.0070,0.0003,0.0067,95.9%,LC
CAPE&Erica_macrotrema_var._glabripedicellata,13,0.0075,0.0003,0.0071,95.5%,LC
CAPE&Erica_filipendula_ssp._filipendula,5,0.0108,0.0003,0.0092,84.6%,LC
CAPE&Erica_intermedia_ssp._intermedia,3,0.0079,0.0003,0.0078,98.6%,LC
CAPE&Erica_viscaria_ssp._macrosepala,0,0.0073,0.0003,0.0053,71.6%,LC
CAPE&Erica_daphniflora,6,0.0062,0.0003,0.0062,99.0%,LC
CAPE&Erica_infundibuliformis,4,0.0054,0.0003,0.0054,100.0%,LC
CAPE&Erica_macrotrema_var._macrotrema,11,0.0076,0.0003,0.0071,94.0%,LC
CAPE&Erica_ventricosa_var._ventricosa,2,0.0074,0.0003,0.0068,91.7%,LC
CAPE&Erica_irrorata,7,0.0044,0.0002,0.0038,87.1%,LC
CAPE&Erica_glandulifera,10,0.0049,0.0002,0.0044,91.2%,LC
CAPE&Erica_planifolia_var._planifolia,7,0.0045,0.0002,0.0031,67.5%,LC
CAPE&Erica_viscaria_ssp._longifolia,0,0.0049,0.0002,0.0037,74.9%,LC
CAPE&Erica_regia_ssp._mariae,1,0.0050,0.0002,0.0048,95.3%,LC
CAPE&Erica_abietina_ssp._constantiana,3,0.0050,0.0002,0.0048,97.0%,LC
CAPE&Erica_axilliflora,1,0.0047,0.0002,0.0044,93.3%,LC
CAPE&Erica_grandiflora_ssp._grandiflora,0,0.0042,0.0002,0.0042,100.0%,LC
CAPE&Erica_campanularis,4,0.0060,0.0002,0.0039,64.7%,LC
CAPE&Erica_pinea,0,0.0035,0.0002,0.0030,83.4%,LC
CAPE&Erica_abietina_ssp._atrorosea,0,0.0052,0.0002,0.0050,95.4%,LC
CAPE&Erica_glabella_ssp._laevis,3,0.0042,0.0002,0.0037,89.2%,LC
CAPE&Erica_glabella_ssp._glabella,2,0.0043,0.0002,0.0037,87.2%,LC
